tilt,key_resp.keys,key_resp.corr,,hit ,miss,false alarm,correct rejection,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
1,up,0,,,1,,,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-2,up,0,,,1,,,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
1,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
-3,down,1,,,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
1,up,0,,,1,,,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
4,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
3,up,0,,,1,,,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
1,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
,,,,71,52,0,76,,,,,,,,,,,,,,,,,
